X,Y,OBJECTID,AREA,PERIMETER,PHTW911_,PHTW911_ID,XLO,YLO,SNO,YEAR,LNO,FE,MN,CU,ZN,CD,CR,NI,PB,CUAR,CUAR_OVER,ZNAR,ZNAR_OVER,CDAR,CDAR_OVER,CRAR,CRAR_OVER,NIAR,NIAR_OVER,PBAR,PBAR_OVER,OVER,RESTRICTED
121.282029616,25.0507024057,9322,62500,1000,487,68833,277625,2771625,GR85JO72011,1996,JO7201,636.07,14.31,161.49,74.4,0.31,7.92,6.6,24.5,340.604,1,274.6825,0,0.4842,0,169.3428,0,48.419,0,75.1484,0,1,1
121.2795415431,25.0461928667,9368,62500,1000,533,69105,277375,2771125,GR85JO819A1,1996,JO819A,1255.21,69.03,150.86,131.11,0.65,10.17,8.95,27.54,318.8805,1,415.6522,0,0.9799,0,208.3848,0,60.4738,0,83.7234,0,1,1
121.2820192966,25.0461881967,9369,62500,1000,534,69116,277625,2771125,GR83JO81AA1,1994,JO81AA,1650.99,30.74,664.36,205.65,1.19,13.47,17.86,88.88,1368.2691,1,600.9438,1,1.7671,0,265.6464,1,106.1794,0,256.7451,0,1,1
121.2919194776,25.0416548941,9424,62500,1000,594,28526,278625,2770625,GR83JO82381,1994,JO8238,274.04,6.35,392.56,34.4,0.31,3.85,5.56,23.64,812.8186,1,175.2505,0,0.4842,0,98.7202,0,43.0841,0,72.7226,0,1,1
121.286958972,25.0394074053,9452,62500,1000,624,69126,278125,2770375,GR85JO82171,1996,JO8217,471.77,8.78,394.54,142.12,0.48,3.99,18.87,43.09,816.8649,1,443.0209,0,0.732,0,101.1495,0,111.3604,0,127.5853,0,1,1
121.2919087224,25.0371406749,9476,62500,1000,651,28523,278625,2770125,GR83JO82361,1994,JO8236,566.12,9.17,154.98,122.58,0.71,2.81,19.19,31.46,327.3001,1,394.4484,0,1.0673,0,80.6741,0,113.0019,0,94.7805,0,1,1
121.2621736745,25.0349389319,9493,62500,1000,669,68989,275625,2769875,GR85JO81251,1996,JO8125,647.14,68.69,115.82,30.64,0.79,0.7,2.21,14.49,247.2728,1,165.9039,0,1.184,0,44.0614,0,25.8996,0,46.9132,0,1,1
121.2621689593,25.0326818269,9529,62500,1000,707,28381,275625,2769625,GR83JO81241,1994,JO8124,1062.13,72.67,162.77,47.71,0.51,0.67,2.97,16.1,343.2198,1,208.3365,0,0.7758,0,43.5408,0,29.7982,0,51.4546,0,1,1
121.2423451203,25.0304589957,9555,62500,1000,735,66105,273625,2769375,GR86IO90431,1997,IO9043,512.74,47.35,251.74,31.91,0.4,2.42,1.92,33.15,525.0389,1,169.0609,0,0.6154,0,73.9068,0,24.412,0,99.5475,0,1,1
121.2497729008,25.028189255,9600,62500,1000,783,66155,274375,2769125,GR86IO90721,1997,IO9072,622.46,29.54,149.35,22.81,0.4,0.54,1.39,22.13,315.7947,1,146.4401,0,0.6154,0,41.2851,0,21.6933,0,68.4634,0,1,1
121.2472558658,25.0078797641,9877,62500,1000,1084,89196,274125,2766875,GR89IO00641,2000,IO0064,665.45,53.54,99.98,14.88,0.21,0.44,1.33,8.28,214.9021,1,126.7277,0,0.3384,0,39.5499,0,21.3855,0,29.3967,0,1,1
121.1679946685,25.0057340113,9909,62500,1000,1118,27353,266125,2766625,GR83IO97431,1994,IO9743,482.19,13.85,4.62,150.35,0.42,4.84,47.47,7.16,20.0244,0,463.479,0,0.6446,0,115.8987,0,258.0699,1,26.2375,0,1,1
121.2472469886,25.0033655621,9949,62500,1000,1159,89193,274125,2766375,GR89IO00621,2000,IO0062,1275.5,74.47,335.29,38.34,0.37,0.62,3.8,22.83,695.7816,1,185.0446,0,0.5717,0,42.6732,0,34.0559,0,70.4379,0,1,1
